NUMBER OF OBSERVATIONS							
270							
DAY	MONTH	YEAR	RAIN	PET	SOIL_VWC	GWL	ABS
31	3	1970	1.574602859	1.080645	-9999	58.04	0
30	4	1970	2.19858486	1.603333	-9999	50.614286	0
31	5	1970	1.018228813	2.619355	-9999	48.434286	0
30	6	1970	1.080277047	3.486667	-9999	48.39	0
31	7	1970	2.058079274	2.896774	-9999	42.151429	0
31	8	1970	2.091457601	2.503226	-9999	38.961429	0
30	9	1970	2.934514823	1.943333	-9999	37.794286	0
31	10	1970	0.926433575	1.164516	-9999	36.48	0
30	11	1970	8.685622494	0.813333	-9999	55.417143	0
31	12	1970	0.934440085	0.364516	-9999	54.83	0
31	1	1971	3.398847832	0.454839	-9999	65.895714	0
28	2	1971	1.250470667	0.603571	-9999	60.772857	0
31	3	1971	2.441757216	1.106452	-9999	57.94	0
30	4	1971	2.111960145	1.716667	-9999	52.172857	0
31	5	1971	1.400748695	2.706452	-9999	47.941111	0
30	6	1971	4.103272767	2.683333	-9999	45.488571	0
31	7	1971	0.903006643	3.070968	-9999	44.1	0
31	8	1971	2.160374837	2.458065	-9999	41.802857	0
30	9	1971	0.159391413	1.903333	-9999	39.61	0
31	10	1971	1.667385299	1.183871	-9999	37.805714	0
30	11	1971	2.704988935	0.65	-9999	36.365714	0
31	12	1971	0.913569197	0.335484	-9999	36.4	0
31	1	1972	3.403114669	0.367742	-9999	41.974286	0
29	2	1972	3.404746463	0.472414	-9999	60.217143	0
31	3	1972	2.109377175	1.43871	-9999	58.158571	0
30	4	1972	2.334556947	2.32	-9999	51.107143	0
31	5	1972	1.975866844	2.73871	-9999	48.045714	0
30	6	1972	1.464086263	2.433333	-9999	45.114286	0
31	7	1972	1.228943659	2.741935	-9999	42.618571	0
31	8	1972	0.537443239	2.612903	-9999	40.325714	0
30	9	1972	1.207957669	1.703333	-9999	38.3	0
31	10	1972	0.813333156	1.122581	-9999	36.64	0
30	11	1972	3.408939379	0.606667	-9999	35.308571	0
31	12	1972	3.181259092	0.387097	-9999	42.924286	0
31	1	1973	1.327667922	0.296774	-9999	41.63	0
28	2	1973	0.952899663	0.507143	-9999	41.974286	0
31	3	1973	0.696394854	0.929032	-9999	43.85	0
30	4	1973	1.708875248	1.786667	-9999	42.751429	0
31	5	1973	2.564764026	2.545161	-9999	40.83	0
30	6	1973	1.823898724	3.08	-9999	41.31	0
31	7	1973	2.236947636	2.522581	-9999	38.96	0
31	8	1973	1.116898593	2.9	-9999	38.29125	0
30	9	1973	2.694008901	2.253333	-9999	36.87	0
31	10	1973	1.494316557	0.912903	-9999	35.515	0
30	11	1973	1.130152693	0.6	-9999	34.78	0
31	12	1973	1.92897737	0.348387	-9999	33.46	0
31	1	1974	3.913591279	0.470968	-9999	45.65375	0
28	2	1974	4.20364049	0.621429	-9999	65.331429	0
31	3	1974	0.887116501	1	-9999	53.978571	0
30	4	1974	0.392513604	2.09	-9999	48.734286	0
31	5	1974	1.390747686	2.906452	-9999	43.025714	0
30	6	1974	2.681908446	3.033333	-9999	41.722857	0
31	7	1974	1.516068042	2.983871	-9999	40.08	0
31	8	1974	2.897857441	2.535484	-9999	38.278462	0
30	9	1974	7.305085945	1.943333	-9999	46.597143	0
31	10	1974	2.161803897	1.058065	-9999	50.978571	0
30	11	1974	6.449567247	0.593333	-9999	75.65	0
31	12	1974	1.962442044	0.567742	-9999	61.952857	0
31	1	1975	4.323259763	0.551613	-9999	70.76	0
28	2	1975	1.158159626	0.467857	-9999	64.127143	0
31	3	1975	3.649065252	0.935484	-9999	58.9	0
30	4	1975	2.263212469	1.633333	-9999	60.044286	0
31	5	1975	1.387177473	2.567742	-9999	54.44	0
30	6	1975	0.255892487	4.006667	-9999	47.875714	0
31	7	1975	0.769333706	3.216129	-9999	43.711667	0
31	8	1975	1.9338826	3.080645	-9999	40.77	0
30	9	1975	5.691429678	2.026667	-9999	39.345714	0
31	10	1975	0.948632757	0.922581	-9999	37.714286	0
30	11	1975	2.497628247	0.513333	-9999	37.808571	0
31	12	1975	1.248253843	0.225806	-9999	37.931429	0
31	1	1976	0.59228601	0.535484	-9999	38.53	0
29	2	1976	1.40937448	0.358621	-9999	38.64	0
31	3	1976	0.680712223	1.070968	-9999	38.211429	0
30	4	1976	0.251386144	1.916667	-9999	37.88	0
31	5	1976	0.589834364	2.951613	-9999	37.48	0
