NUMBER OF OBSERVATIONS							
540							
DAY	MONTH	YEAR	RAIN	PET	SOIL_VWC	GWL	ABS
31	3	1985	2.430872348	0.9	-9999	54.996429	0
30	4	1985	1.56729141	2.076667	-9999	58.535	0
31	5	1985	1.51651715	2.474194	-9999	47.755714	0
30	6	1985	2.302444406	2.666667	-9999	45.17	0
31	7	1985	2.289616637	3.158065	-9999	42.825714	0
31	8	1985	4.680450147	2.706452	-9999	44.425714	0
30	9	1985	0.871188202	1.653333	-9999	45.195	0
31	10	1985	0.835092278	1.132258	-9999	43.7	0
30	11	1985	2.126352815	0.596667	-9999	41.477143	0
31	12	1985	3.285250524	0.467742	-9999	46.89	0
31	1	1986	5.096696456	0.583871	-9999	65.51	0
28	2	1986	0.283882529	0.528571	-9999	59.545	0
31	3	1986	2.852762179	1.045161	-9999	51.87125	0
30	4	1986	2.369506137	1.713333	-9999	55.585	0
31	5	1986	2.574689607	2.567742	-9999	53.3	0
30	6	1986	0.965391209	3.16	-9999	48.322857	0
31	7	1986	1.302807041	2.854839	-9999	45.27	0
31	8	1986	3.354219368	2.548387	-9999	42.33	0
30	9	1986	1.270258794	1.55	-9999	39.64	0
31	10	1986	3.407245346	1.13871	-9999	38.582857	0
30	11	1986	5.071122694	0.676667	-9999	61.585	0
31	12	1986	4.20486945	0.541935	-9999	64.5	0
31	1	1987	0.511672214	0.332258	-9999	59.675714	0
28	2	1987	1.645444956	0.532143	-9999	52.428571	0
31	3	1987	3.606277969	1.087097	-9999	62.56	0
30	4	1987	2.555428447	1.876667	-9999	64.68	0
31	5	1987	1.077133597	2.829032	-9999	52.958571	0
30	6	1987	2.68149634	2.46	-9999	46.074286	0
31	7	1987	2.383637318	2.980645	-9999	43.138571	0
31	8	1987	1.214543247	2.467742	-9999	40.507143	0
30	9	1987	1.440702208	1.866667	-9999	38.7	0
31	10	1987	7.186640184	1.196774	-9999	50.081429	0
30	11	1987	2.985612575	0.546667	-9999	59.088571	0
31	12	1987	1.468831267	0.409677	-9999	52.62	0
31	1	1988	6.092464441	0.519355	-9999	72.424	0
29	2	1988	1.71702247	0.851724	-9999	69.267143	0
31	3	1988	3.024220377	1.270968	-9999	57.51	0
30	4	1988	2.245783782	1.713333	-9999	54.304286	0
31	5	1988	1.068300377	2.851613	-9999	50.214286	0
30	6	1988	0.883612013	2.403333	-9999	44.83	0
31	7	1988	3.107715559	2.706452	-9999	43.362857	0
31	8	1988	1.628325154	2.609677	-9999	41.078571	0
30	9	1988	1.719711453	1.826667	-9999	39.302857	0
31	10	1988	3.201631429	1.058065	-9999	38.415714	0
30	11	1988	1.081781273	0.446667	-9999	39.748571	0
31	12	1988	0.776660315	0.370968	-9999	39.27	0
31	1	1989	1.254071433	0.409677	-9999	39.035714	0
28	2	1989	3.160482184	0.696429	-9999	43.421429	0
31	3	1989	2.407041317	1.3	-9999	56.126667	0
30	4	1989	2.239939138	1.826667	-9999	51.943333	0
31	5	1989	0.139537456	3.709677	-9999	47.274286	0
30	6	1989	0.809837076	3.683333	-9999	42.654286	0
31	7	1989	1.109256763	3.870968	-9999	39.015714	0
31	8	1989	0.692370904	3.358065	-9999	38.17	0
30	9	1989	1.362778642	2.033333	-9999	36.684286	0
31	10	1989	2.903852149	1.490323	-9999	35.37	0
30	11	1989	1.865738999	0.57	-9999	34.102857	0
31	12	1989	5.363583552	0.477419	-9999	37.892	0
31	1	1990	4.218772229	0.522581	-9999	50.894286	0
28	2	1990	5.693376185	1.032143	-9999	71.075714	0
31	3	1990	0.14026136	1.458065	-9999	58.983333	0
30	4	1990	1.512630372	2.456667	-9999	50.445714	0
31	5	1990	0.25390345	3.341935	-9999	43.121667	0
30	6	1990	2.655628026	2.67	-9999	41.998571	0
31	7	1990	0.513956708	3.706452	-9999	37.68	0
31	8	1990	1.028279282	3.487097	-9999	37.575714	0
30	9	1990	1.654244574	2.256667	-9999	36.115714	0
31	10	1990	3.590027621	1.406452	-9999	34.718571	0
30	11	1990	1.782440927	0.683333	-9999	33.905714	0
31	12	1990	2.145717575	0.529032	-9999	33.984	0
31	1	1991	3.316911044	0.574194	-9999	43.155714	0
28	2	1991	1.737450249	0.460714	-9999	43.472857	0
31	3	1991	3.107624361	1.180645	-9999	59.714286	0
30	4	1991	1.812444983	2.043333	-9999	52.37	0
31	5	1991	0.429784778	2.477419	-9999	46.35	0
30	6	1991	5.760235146	2.563333	-9999	44.767143	0
31	7	1991	3.156372941	3.119355	-9999	44.97	0
31	8	1991	0.52758624	2.909677	-9999	43.796	0
30	9	1991	1.82824489	2.043333	-9999	41.91	0
31	10	1991	2.249728294	1.112903	-9999	40.04	0
30	11	1991	2.19400078	0.76	-9999	39.65	0
31	12	1991	0.806720482	0.458065	-9999	40.292	0
31	1	1992	0.530826445	0.396774	-9999	40.296667	0
29	2	1992	1.434748664	0.613793	-9999	39.981852	0
31	3	1992	1.789086902	1.377419	-9999	40.380909	0
30	4	1992	3.640723712	2.093333	-9999	42.182857	0
31	5	1992	1.109883857	3.348387	-9999	45.825714	0
30	6	1992	0.681316474	2.796667	-9999	42.82	0
31	7	1992	3.205671491	2.645161	-9999	41.218421	0
31	8	1992	3.539980991	2.606452	-9999	38.673333	0
30	9	1992	2.427705855	1.7	-9999	37.895294	0
31	10	1992	2.440096531	1.129032	-9999	38.135	0
30	11	1992	5.054389783	0.666667	-9999	53.021667	0
31	12	1992	2.732857167	0.348387	-9999	64.481429	0
31	1	1993	3.709311556	0.525806	-9999	67.6896	0
28	2	1993	0.229867798	0.528571	-9999	58.95125	0
31	3	1993	1.178999605	1.074194	-9999	50.352857	0
30	4	1993	3.103311339	1.83	-9999	48.8475	0
31	5	1993	1.669899063	3.045161	-9999	47.6925	0
30	6	1993	1.90847396	3	-9999	44.96	0
31	7	1993	2.518546392	3.170968	-9999	42.324615	0
31	8	1993	1.134944676	2.712903	-9999	40.275	0
