NUMBER OF OBSERVATIONS								
1621							
DAY	MONTH	YEAR	RAIN	PE	SOIL_VWC	GWL	ABS	
10	9	2014	0	2.891	-9999	-9999	0	
11	9	2014	0.016066337	2.891	-9999	-9999	0	
12	9	2014	0.017926307	2.891	-9999	-9999	0	
13	9	2014	0.001506807	2.891	-9999	-9999	0	
14	9	2014	0.108102143	2.891	-9999	-9999	0	
15	9	2014	0.082627743	2.891	-9999	-9999	0	
16	9	2014	8.11E-05	2.891	-9999	-9999	0	
17	9	2014	0.075267807	2.891	-9999	-9999	0	
18	9	2014	1.30754745	2.891	-9999	-9999	0	
19	9	2014	6.035308361	2.891	-9999	-9999	0	
20	9	2014	0.951793432	2.891	-9999	-9999	0	
21	9	2014	0.082853481	2.891	-9999	-9999	0	
22	9	2014	0.000279572	2.891	-9999	-9999	0	
23	9	2014	2.23658967	2.891	-9999	-9999	0	
24	9	2014	0.619183779	2.891	-9999	-9999	0	
25	9	2014	0.000804996	2.891	-9999	17.09	0	
26	9	2014	0.000487862	2.891	-9999	-9999	0	
27	9	2014	0	2.891	-9999	-9999	0	
28	9	2014	0.003608531	2.891	-9999	-9999	0	
29	9	2014	2.226983786	2.891	-9999	-9999	0	
30	9	2014	0.03446722	2.891	-9999	-9999	0	
1	10	2014	0.060119178	1.290322581	-9999	-9999	0	
2	10	2014	0.087342113	1.290322581	-9999	-9999	0	
3	10	2014	0.072377883	1.290322581	-9999	-9999	0	
4	10	2014	8.918244362	1.290322581	-9999	-9999	0	
5	10	2014	0.021796213	1.290322581	-9999	-9999	0	
6	10	2014	5.689204693	1.290322581	-9999	-9999	0	
7	10	2014	3.324577332	1.290322581	-9999	-9999	0	
8	10	2014	9.081408501	1.290322581	-9999	-9999	0	
9	10	2014	0.549807847	1.290322581	-9999	-9999	0	
10	10	2014	1.46498847	1.290322581	-9999	-9999	0	
11	10	2014	0.120016009	1.290322581	-9999	-9999	0	
12	10	2014	28.59691811	1.290322581	-9999	-9999	0	
13	10	2014	10.49633026	1.290322581	-9999	-9999	0	
14	10	2014	0.200570479	1.290322581	-9999	-9999	0	
15	10	2014	5.091301918	1.290322581	-9999	-9999	0	
16	10	2014	0.048918165	1.290322581	-9999	-9999	0	
17	10	2014	0.540148616	1.290322581	-9999	-9999	0	
18	10	2014	5.045080185	1.290322581	-9999	-9999	0	
19	10	2014	0.009488414	1.290322581	-9999	-9999	0	
20	10	2014	1.00862956	1.290322581	-9999	-9999	0	
21	10	2014	1.887071252	1.290322581	-9999	-9999	0	
22	10	2014	0.016281951	1.290322581	-9999	-9999	0	
23	10	2014	0.981246352	1.290322581	-9999	-9999	0	
24	10	2014	0.20305261	1.290322581	-9999	-9999	0	
25	10	2014	0.018624304	1.290322581	-9999	-9999	0	
26	10	2014	0.070136026	1.290322581	-9999	-9999	0	
27	10	2014	0.083427601	1.290322581	-9999	-9999	0	
28	10	2014	0.046037789	1.290322581	-9999	-9999	0	
29	10	2014	1.632890821	1.290322581	-9999	-9999	0	
30	10	2014	0.049483825	1.290322581	-9999	16.59	0	
31	10	2014	0.018215945	1.290322581	-9999	-9999	0	
1	11	2014	0.027627049	0.583333333	-9999	-9999	0	
2	11	2014	4.168467999	0.583333333	-9999	-9999	0	
3	11	2014	4.661323547	0.583333333	-9999	-9999	0	
4	11	2014	0.401871771	0.583333333	-9999	-9999	0	
5	11	2014	4.607884407	0.583333333	-9999	-9999	0	
6	11	2014	4.419094086	0.583333333	-9999	-9999	0	
7	11	2014	0.254084408	0.583333333	-9999	-9999	0	
8	11	2014	8.288952827	0.583333333	-9999	-9999	0	
9	11	2014	0.141110182	0.583333333	-9999	-9999	0	
10	11	2014	0.031061618	0.583333333	-9999	-9999	0	
11	11	2014	0.103796206	0.583333333	-9999	-9999	0	
12	11	2014	0.795132101	0.583333333	-9999	-9999	0	
13	11	2014	1.321406603	0.583333333	-9999	-9999	0	
14	11	2014	3.387222767	0.583333333	-9999	-9999	0	
15	11	2014	0.221336991	0.583333333	-9999	-9999	0	
16	11	2014	12.5278511	0.583333333	-9999	-9999	0	
17	11	2014	4.311900139	0.583333333	-9999	-9999	0	
18	11	2014	0.698123634	0.583333333	-9999	-9999	0	
19	11	2014	0.357240379	0.583333333	-9999	-9999	0	
20	11	2014	0.014765606	0.583333333	-9999	-9999	0	
21	11	2014	1.983820081	0.583333333	-9999	-9999	0	
22	11	2014	8.344612122	0.583333333	-9999	-9999	0	
23	11	2014	14.5793457	0.583333333	-9999	-9999	0	
24	11	2014	0.090021543	0.583333333	-9999	-9999	0	
25	11	2014	7.612568378	0.583333333	-9999	-9999	0	
26	11	2014	1.412385702	0.583333333	-9999	-9999	0	
27	11	2014	0.060056519	0.583333333	-9999	16.97	0	
28	11	2014	0.103831947	0.583333333	-9999	-9999	0	
29	11	2014	0.110177092	0.583333333	-9999	-9999	0	
30	11	2014	0.260812104	0.583333333	-9999	-9999	0	
1	12	2014	0.030689642	0.423870968	-9999	-9999	0	
2	12	2014	2.940024614	0.423870968	-9999	-9999	0	
3	12	2014	0.526240885	0.423870968	-9999	-9999	0	
4	12	2014	1.223612547	0.423870968	-9999	-9999	0	
5	12	2014	0.007329777	0.423870968	-9999	-9999	0	
6	12	2014	0.248868942	0.423870968	-9999	-9999	0	
7	12	2014	0.757700443	0.423870968	-9999	-9999	0	
8	12	2014	0.000585222	0.423870968	-9999	-9999	0	
9	12	2014	0.896849096	0.423870968	-9999	-9999	0	
10	12	2014	0.998179018	0.423870968	-9999	-9999	0	
11	12	2014	4.875309467	0.423870968	-9999	-9999	0	
12	12	2014	0.687960804	0.423870968	-9999	-9999	0	
13	12	2014	0.127512723	0.423870968	-9999	-9999	0	
14	12	2014	1.913835764	0.423870968	-9999	-9999	0	
15	12	2014	0.085751168	0.423870968	-9999	16.99	0	
16	12	2014	9.694457054	0.423870968	-9999	-9999	0	
17	12	2014	0.040113106	0.423870968	-9999	-9999	0	
18	12	2014	2.884079933	0.423870968	-9999	-9999	0	
19	12	2014	0.009196091	0.423870968	-9999	-9999	0	
20	12	2014	0.002957797	0.423870968	-9999	-9999	0	
21	12	2014	0.001607115	0.423870968	-9999	-9999	0	
22	12	2014	8.09E-05	0.423870968	-9999	-9999	0	
23	12	2014	1.716392875	0.423870968	-9999	-9999	0	
